Date generated,MFR,BH-Code,Name,BH Special Price,BH Price,BH Type of Sell,BH Rebate,BH Date End Rebate,Magento Current Special,Magento Current Price,Magento Rebate,Magento Date End Rebate,Type of sell to upload,Price To Upload,Special to Upload,Upload Rebate,Upload Date End Rebate,,,
Apr 05 2013 16:24:50,'5260B002,'CAE5D3-REG,"""Canon EOS 5D Mark III Digital Camera (Body Only)""",3149,3499,incar,,,2949,3499,200,3/30/2013,incar,3149,3499,,,Photography,DSLR Cameras,Canon EOS 5D Mark III
Apr 05 2013 16:24:54,'5260B009,'CAE5D324105-REG,"""Canon EOS 5D Mark III Digital Camera Kit with Canon 24-105mm f/4L IS USM AF Lens""",3688.99,4099,incar,,,3489,4099,,,incar,3688.99,4099,,,Photography,DSLR Cameras,Canon EOS 5D Mark III
Apr 05 2013 16:24:57,'25480,'NID800-REG,"""Nikon D800 Digital SLR Camera (Body Only)""",2796.95,2996.95,rebate,200,4/27/2013,,2786.95,,,normal,,2786.95,,,Photography,DSLR Cameras,Nikon D800
Apr 05 2013 16:24:59,'8035B002,'CAE6D-REG,"""Canon EOS 6D Digital Camera (Body Only)""",1899,2099,incar,,,1779,2099,,,incar,1899,2099,,,Photography,DSLR Cameras,Canon EOS 6D
Apr 05 2013 16:25:02,'25488,'NID600-REG,"""Nikon D600 Digital Camera (Body Only)""",1996.95,2096.95,rebate,100,4/27/2013,,1986.95,,,normal,,1986.95,,,Photography,DSLR Cameras,Nikon D600
Apr 05 2013 16:25:06,'25472,'NID31001855-REG,"""Nikon D3100 Digital SLR Camera with 18-55mm NIKKOR VR Lens""",446.95,546.95,rebate,100,4/27/2013,,436.95,,,normal,,436.95,,,Photography,DSLR Cameras,Nikon D3100
Apr 05 2013 16:25:08,'3814B004,'CAE7D-REG,"""Canon EOS 7D SLR Digital Camera (Body Only)""",1249,1499,incar,,,1249,1499,100,3/30/2013,incar,1249,1499,,,Photography,DSLR Cameras,Canon EOS 7D
Apr 05 2013 16:25:13,'6558B003,'CAEDRT4IK-REG,"""Canon EOS Rebel T4i Digital Camera with EF-S 18-55mm f/3.5-5.6 IS II Lens""",649,899,incar-rebate,150,4/27/2013,649,899,,,incar-rebate,649,899,150,4/27/2013,Photography,DSLR Cameras,Canon EOS Rebel T4i
Apr 05 2013 16:25:20,'25468,'NID7000-REG,"""Nikon D7000 SLR Digital Camera (Body Only)""",896.95,996.95,rebate,100,4/27/2013,,886.95,,,normal,,886.95,,,Photography,DSLR Cameras,Nikon D7000
Apr 05 2013 16:25:23,'25498,'NID800E-REG,"""Nikon D800E Digital SLR Camera (Body Only)""",3296.95,3296.95,normal,,,,3286.95,,,normal,,3286.95,,,Photography,DSLR Cameras,Nikon D800E
Apr 05 2013 16:25:24,'25478,'NID51001855-REG,"""Nikon D5100 Digital SLR Camera With 18-55mm f/3.5-5.6G VR Lens""",596.95,696.95,rebate,100,4/27/2013,,586.95,,,normal,,586.95,,,Photography,DSLR Cameras,Nikon D5100
Apr 05 2013 16:25:26,'25492,'NID32001855-REG,"""Nikon D3200 Digital SLR Camera With AF-S DX NIKKOR 18-55mm 1:3.5-5.6G VR Lens (Black)""",596.95,696.95,rebate,100,4/27/2013,,586.95,,,normal,,586.95,,,Photography,DSLR Cameras,Nikon D3200
Apr 05 2013 16:25:32,'4460B004,'CAE60D18135-REG,"""Canon EOS 60D DSLR Camera Kit with Canon EF-S 18-135mm IS Lens""",979,1199,incar,,,979,1199,100,3/30/2013,incar,979,1199,,,Photography,DSLR Cameras,Canon EOS 60D
Apr 05 2013 16:25:37,'25474,'NID700018105-REG,"""Nikon D7000 DSLR Camera Kit with Nikon 18-105mm DX VR Lens""",1196.95,1296.95,rebate,100,4/27/2013,,1186.95,,,normal,,1186.95,,,Photography,DSLR Cameras,Nikon D7000
